통신사,기기명,product_group_nm,지원유형,요금제,횟수
SK,SM-S937N,갤럭시 S25 엣지,공시,100k,4
SK,SM-S937N,갤럭시 S25 엣지,선약,100k,4
SK,SM-S937N,갤럭시 S25 엣지,공시,43k,4
SK,SM-S937N,갤럭시 S25 엣지,공시,69k,4
SK,SM-S937N,갤럭시 S25 엣지,공시,89k,4
SK,SM-S937N,갤럭시 S25 엣지,공시,109k,4
SK,SM-S937N,갤럭시 S25 엣지,선약,43k,4
SK,SM-S937N,갤럭시 S25 엣지,선약,69k,4
SK,SM-S937N,갤럭시 S25 엣지,선약,89k,4
SK,SM-S937N,갤럭시 S25 엣지,선약,109k,4
SK,SM-S721N,갤럭시 S21 FE,공시,100k,4
SK,SM-S721N,갤럭시 S21 FE,선약,100k,4
SK,SM-S721N,갤럭시 S21 FE,공시,43k,4
SK,SM-S721N,갤럭시 S21 FE,공시,69k,4
SK,SM-S721N,갤럭시 S21 FE,공시,89k,4
SK,SM-S721N,갤럭시 S21 FE,공시,109k,4
SK,SM-S721N,갤럭시 S21 FE,선약,43k,4
SK,SM-S721N,갤럭시 S21 FE,선약,69k,4
SK,SM-S721N,갤럭시 S21 FE,선약,89k,4
SK,SM-S721N,갤럭시 S21 FE,선약,109k,4
KT,SM-S911,갤럭시 S23 FE,공시,110k,2
KT,SM-S911,갤럭시 S23 FE,공시,100k,2
KT,SM-S911,갤럭시 S23 FE,공시,90k,2
KT,SM-S911,갤럭시 S23 FE,공시,61k,2
KT,SM-S911,갤럭시 S23 FE,공시,37k,2
KT,SM-S911,갤럭시 S23 FE,선약,110k,2
KT,SM-S911,갤럭시 S23 FE,선약,100k,2
KT,SM-S911,갤럭시 S23 FE,선약,90k,2
KT,SM-S911,갤럭시 S23 FE,선약,61k,2
KT,SM-S911,갤럭시 S23 FE,선약,37k,2
KT,SM-S721NK,갤럭시 S21 FE,공시,110k,2
KT,SM-S721NK,갤럭시 S21 FE,공시,100k,2
KT,SM-S721NK,갤럭시 S21 FE,공시,90k,2
KT,SM-S721NK,갤럭시 S21 FE,공시,61k,2
KT,SM-S721NK,갤럭시 S21 FE,공시,37k,2
KT,SM-S721NK,갤럭시 S21 FE,선약,110k,2
KT,SM-S721NK,갤럭시 S21 FE,선약,100k,2
KT,SM-S721NK,갤럭시 S21 FE,선약,90k,2
KT,SM-S721NK,갤럭시 S21 FE,선약,61k,2
KT,SM-S721NK,갤럭시 S21 FE,선약,37k,2
KT,MI-RMN13P5GK,홍미 노트 13 프로,공시,110k,2
KT,MI-RMN13P5GK,홍미 노트 13 프로,공시,100k,2
KT,MI-RMN13P5GK,홍미 노트 13 프로,공시,90k,2
KT,MI-RMN13P5GK,홍미 노트 13 프로,공시,61k,2
KT,MI-RMN13P5GK,홍미 노트 13 프로,공시,37k,2
KT,MI-RMN13P5GK,홍미 노트 13 프로,선약,110k,2
KT,MI-RMN13P5GK,홍미 노트 13 프로,선약,100k,2
KT,MI-RMN13P5GK,홍미 노트 13 프로,선약,90k,2
KT,MI-RMN13P5GK,홍미 노트 13 프로,선약,61k,2
KT,MI-RMN13P5GK,홍미 노트 13 프로,선약,37k,2
KT,AT-M130K,갤럭시 A13,공시,110k,2
KT,AT-M130K,갤럭시 A13,공시,100k,2
KT,AT-M130K,갤럭시 A13,공시,90k,2
KT,AT-M130K,갤럭시 A13,공시,61k,2
KT,AT-M130K,갤럭시 A13,공시,37k,2
KT,AT-M130K,갤럭시 A13,선약,110k,2
KT,AT-M130K,갤럭시 A13,선약,100k,2
KT,AT-M130K,갤럭시 A13,선약,90k,2
KT,AT-M130K,갤럭시 A13,선약,61k,2
KT,AT-M130K,갤럭시 A13,선약,37k,2
LG,UIP17(아이폰17류),아이폰 17,공시,115k,2
LG,UIP17(아이폰17류),아이폰 17,공시,105k,2
LG,UIP17(아이폰17류),아이폰 17,공시,95k,2
LG,UIP17(아이폰17류),아이폰 17,선약,115k,2
LG,UIP17(아이폰17류),아이폰 17,선약,105k,2
LG,UIP17(아이폰17류),아이폰 17,선약,95k,2
LG,S937-256G,갤럭시 S25 엣지,공시,115k,2
LG,S937-256G,갤럭시 S25 엣지,공시,105k,2
LG,S937-256G,갤럭시 S25 엣지,공시,95k,2
LG,S937-256G,갤럭시 S25 엣지,선약,115k,2
LG,S937-256G,갤럭시 S25 엣지,선약,105k,2
LG,S937-256G,갤럭시 S25 엣지,선약,95k,2
LG,F741-256G,갤럭시 Z 플립 5,공시,115k,2
LG,F741-256G,갤럭시 Z 플립 5,공시,105k,2
LG,F741-256G,갤럭시 Z 플립 5,공시,95k,2
LG,F741-256G,갤럭시 Z 플립 5,선약,115k,2
LG,F741-256G,갤럭시 Z 플립 5,선약,105k,2
LG,F741-256G,갤럭시 Z 플립 5,선약,95k,2
LG,F956-256G,갤럭시 Z 폴드 6,공시,115k,2
LG,F956-256G,갤럭시 Z 폴드 6,공시,105k,2
LG,F956-256G,갤럭시 Z 폴드 6,공시,95k,2
LG,F956-256G,갤럭시 Z 폴드 6,선약,115k,2
LG,F956-256G,갤럭시 Z 폴드 6,선약,105k,2
LG,F956-256G,갤럭시 Z 폴드 6,선약,95k,2
LG,SM-A166L,갤럭시 버디 4,공시,115k,2
LG,SM-A166L,갤럭시 버디 4,공시,105k,2
LG,SM-A166L,갤럭시 버디 4,공시,95k,2
LG,SM-A166L,갤럭시 버디 4,선약,115k,2
LG,SM-A166L,갤럭시 버디 4,선약,105k,2
LG,SM-A166L,갤럭시 버디 4,선약,95k,2
SK,X-RN13P_8_OE,홍미노트 13 프로,공시,100k,2
SK,X-RN13P_8_OE,홍미노트 13 프로,선약,100k,2
SK,X-RN13P_8_OE,홍미노트 13 프로,공시,33k,2
SK,X-RN13P_8_OE,홍미노트 13 프로,공시,43k,2
SK,X-RN13P_8_OE,홍미노트 13 프로,공시,59k,2
SK,X-RN13P_8_OE,홍미노트 13 프로,공시,69k,2
SK,X-RN13P_8_OE,홍미노트 13 프로,공시,89k,2
SK,X-RN13P_8_OE,홍미노트 13 프로,공시,109k,2
SK,X-RN13P_8_OE,홍미노트 13 프로,선약,43k,2
SK,X-RN13P_8_OE,홍미노트 13 프로,선약,59k,2
SK,X-RN13P_8_OE,홍미노트 13 프로,선약,69k,2
SK,X-RN13P_8_OE,홍미노트 13 프로,선약,89k,2
SK,X-RN13P_8_OE,홍미노트 13 프로,선약,109k,2
SK,SM-S721N,갤럭시 S21 FE,공시,33k,2
SK,SM-S721N,갤럭시 S21 FE,공시,59k,2
SK,SM-S721N,갤럭시 S21 FE,선약,59k,2
SK,SM-S937N,갤럭시 S25 엣지,공시,33k,2
SK,SM-S937N,갤럭시 S25 엣지,공시,59k,2
SK,SM-S937N,갤럭시 S25 엣지,선약,59k,2
SK,AT-M150S,스타일 폴더 3,공시,100k,2
SK,AT-M150S,스타일 폴더 3,선약,100k,2
SK,AT-M150S,스타일 폴더 3,공시,33k,2
SK,AT-M150S,스타일 폴더 3,공시,43k,2
SK,AT-M150S,스타일 폴더 3,공시,59k,2
SK,AT-M150S,스타일 폴더 3,공시,69k,2
SK,AT-M150S,스타일 폴더 3,공시,89k,2
SK,AT-M150S,스타일 폴더 3,공시,109k,2
SK,AT-M150S,스타일 폴더 3,선약,43k,2
SK,AT-M150S,스타일 폴더 3,선약,59k,2
SK,AT-M150S,스타일 폴더 3,선약,69k,2
SK,AT-M150S,스타일 폴더 3,선약,89k,2
SK,AT-M150S,스타일 폴더 3,선약,109k,2
SK,X-RN13P_8_OE,홍미노트 13 프로,선약,33k,1
SK,SM-S721N,갤럭시 S21 FE,선약,33k,1
SK,SM-S937N,갤럭시 S25 엣지,선약,33k,1
SK,AT-M150S,스타일 폴더 3,선약,33k,1
